"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:34","Was machst du hier?","Co tu robisz?","","False","BEG_700_Jesper_JOB.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:44","Was machst du hier?","Co tu robisz?","","False","BEG_700_JOB_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:45","Ich bin Jesper. War früher mal Soldat. Jetzt bin ich Bettler.","Nazywam się Jesper. Kiedyś byłem żołnierzem, teraz jestem żebrakem.","","True","BEG_700_JOB_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:46","Was ist geschehen?","Co się tu stało?","","False","BEG_700_JOB_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:47","Drei Offiziere haben sich einen hübschen jungen Rekruten vorgenommen. Darauf hin habe ich sie mir vorgenommen.","Trzech oficerów załatwiło młodego rekruta. Dlatego też go załatwiłem.","","True","BEG_700_JOB_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:48","Innerhalb einer Minute waren sie alle tot. Und das war das Ende meiner Karriere. Seitdem hangel ich mich so durch.","W ciągu minuty wszyscy zginęli. A to był koniec mojej kariery. Od tamtej pory nie mogę się rozstać.","","True","BEG_700_JOB_02_05","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:70","Hey, ich hab dich hier noch nie gesehen. Bringst du Neuigkeiten mit?","Hej, nigdy cię tu nie widziałem. Masz jakieś wieści?","","True","BEG_700_HI_02_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:72","Der alte Tempel ist eingestürzt","Stara świątynia upadła.","","True","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_TEMPLE","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:73","Ich hörte das Orks in der Gegend sind.","Słyszałem, że są tam orkowie.","","True","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_ORK","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:74","Nein, aber kennst du Neuigkeiten? ","Nie, ale czy wiesz coś nowego?","","True","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_NO","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:79","Nein, aber kennst du Neuigkeiten?","Nie, ale czy wiesz coś nowego?","","True","BEG_700_HI_NO_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:80","Ich kriege einiges mit. Wenn du etwas wissen willst, bin ich dein Mann.","Wiem, co się dzieje. Jeśli chcesz czegoś wiedzieć, to ja będę twoim mężem.","","True","BEG_700_HI_NO_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:86","Ich hörte das Orks in der Gegend sind.","Słyszałem, że są tam orkowie.","","True","BEG_700_HI_ORK_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:87","Ach was? Tatsächlich? Sag mal hast du die letzten Monate geschlafen?","A co? Naprawdę? Czy ostatnimi miesiącami spałeś?","","True","BEG_700_HI_ORK_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:88","Naja, geschlafen trifft es nicht unbedingt...","Cóż, nie zawsze się udać na sen...","","True","BEG_700_HI_ORK_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:89","Junge, wenn du Information suchst, dann bist du bei mir genau richtig.","Chłopie, jeśli szukasz informacji, to trafiłeś do właściwej strony.","","True","BEG_700_HI_ORK_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:95","Der alte Tempel ist eingestürzt","Stara świątynia upadła.","","True","BEG_700_HI_TEMPLE_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:96","Tempel? Welcher Tempel?","Świątynia? Jaką świątynię?","","True","BEG_700_HI_TEMPLE_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:97","Der alte Ork Tempel in dem der Erzdämon tausend Jahre geschlafen hat.","Stara świątynia orków, w której przez tysiąc lat spał arcydemon.","","True","BEG_700_HI_TEMPLE_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:98","Was... ein Tempel? Dämon... Orks? Damit kann ich nichts anfangen. Aber wenn du Neuigkeiten suchst, bist du bei mir richtig.","Co... świątynia? Demon... orkowie? Nie mogę z tym nic zrobić. Ale jeśli szukasz nowości, to jesteś w odpowiedniej sprawie.","","True","BEG_700_HI_TEMPLE_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:112","Hast Du Neuigkeiten?","Masz jakieś wieści?","","False","BEG_700_Jesper_NEWS.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:127","Hast Du Neuigkeiten?","Masz jakieś wieści?","","False","BEG_700_NEWS_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:128","Das Wasser ist nass, die Miliz schläft im Dienst, die Bettler haben kein Silber, alles ist ruhig.","Woda jest wilgotna, straż śpi w służbie, żebracy nie mają żadnego srebra, wszystko jest spokojne.","","True","BEG_700_NEWS_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:141","(Neuigkeit erwerben über...)","(Nadszukaj informacji na temat...","","True","BEG_700_Jesper_GIVENEWS.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:157","Herumtreiber (2 Silber)","Szumownik (2 srebra)","","True","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_LOAFER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:158","Miliz (2 Silber)","Straż (2 srebra)","","True","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_MILITIA","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:159","Heiler (2 Silber)","Uzdrowiciel (2 srebra)","","True","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_HEALER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:160","Arbeiter (2 Silber)","Pracownik (2 srebra)","","True","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_WORKER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:168","Erzähl mir was über die Arbeiter!","Opowiedz mi o tych pracownikach!","","True","BEG_700_GIVENEWS_WORKER_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:169","Einige der Arbeiter sind unzufrieden, weil Bromor ein Sklaventreiber ist.","Niektórzy z robotników nie są zadowoleni, że Bromor jest handlarzem niewolników.","","True","BEG_700_GIVENEWS_WORKER_02_02","",""
