"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:1208","Hör mit der Magie auf!","Stop that sorcery!","","True","SVM_10_StopMagic","",""
"Scripts/Content/Story/SVM.d:1208","Hör sofort damit auf!!!","Stop it at once!!!","","True","SVM_10_ISaidStopMagic","",""
"Scripts/Content/Story/SVM.d:1209","Steck die Waffe weg!","Put the weapon down!","","True","SVM_10_WeaponDown","",""
"Scripts/Content/Story/SVM.d:1210","Was soll das werden? Willst du dich mit mir anlegen?","What d'you think you're doing? You want trouble with me?","","True","SVM_10_ISaidWeaponDown","",""
"Scripts/Content/Story/SVM.d:1210","Nimm das Ding runter, oder ich sorg' selbst dafür!","Put that thing down or I'll do it for you!","","True","SVM_10_WatchYourAim","",""
"Scripts/Content/Story/SVM.d:1212","Wenn du eins aufs Maul willst, ziel ruhig weiter auf mich!","If you want trouble, just keep on aiming at me!","","True","SVM_10_WatchYourAimAngry","",""
"Scripts/Content/Story/SVM.d:1213","He! Pass auf! Noch mal und ich verpass' dir eine.","Hey! Watch it! Once more and you'll get it!","","True","SVM_10_WhatAreYouDoing","",""
"Scripts/Content/Story/SVM.d:1214","Hey, Mann! Lass uns unseren kleinen Streit von letztens vergessen, okay?","Hey, man! Let's forget about that little argument we had, okay?","","True","SVM_10_LetsForgetOurLittleFight","",""
"Scripts/Content/Story/SVM.d:1216","Drecksviecher!","Dirty beasts!","","True","SVM_10_DieMonster","",""
"Scripts/Content/Story/SVM.d:1216","Jetzt musst du dran glauben!","Now you're done for!","","True","SVM_10_DieMortalEnemy","",""
"Scripts/Content/Story/SVM.d:1217","Jetzt rechnen wir ab!","It's payday!","","True","SVM_10_NowWait","",""
"Scripts/Content/Story/SVM.d:1218","Du willst wohl noch eine auf's Maul!","Looks like you want some in your face!","","True","SVM_10_YouStillNotHaveEnough","",""
"Scripts/Content/Story/SVM.d:1219","Du wolltest so es so haben!","You were asking for it!","","True","SVM_10_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:1220","Jetzt mach' ich Hackfleisch aus dir, Eindringling!","Now I'll get you, intruder!","","True","SVM_10_NowWaitIntruder","",""
"Scripts/Content/Story/SVM.d:1222","Du Dieb! Ich mach dich fertig!","You thief! I'll finish you off!","","True","SVM_10_DirtyThief","",""
"Scripts/Content/Story/SVM.d:1224","Niemand vergreift sich an meinen Jungs!","Nobody messes with my guys!","","True","SVM_10_YouAttackedMyCharge","",""
"Scripts/Content/Story/SVM.d:1225","Du hast einen meiner Jungs platt gemacht. Jetzt mach' ich DICH platt!","You've killed one of my men. Now I will kill YOU!","","True","SVM_10_YouKilledOneOfUs","",""
"Scripts/Content/Story/SVM.d:1226","Aaargl","Aargh, aargh","","True","SVM_10_Dead","",""
"Scripts/Content/Story/SVM.d:1227","Aargh","Oorgh, aargh","","True","SVM_10_Aargh_1","",""
"Scripts/Content/Story/SVM.d:1227","Aargh","Oorgh, aargh","","True","SVM_10_Aargh_2","",""
"Scripts/Content/Story/SVM.d:1228","Aargh","Oorgh, aargh","","True","SVM_10_Aargh_3","",""
"Scripts/Content/Story/SVM.d:1229","UUAAARRGGGHHH!!!","AAARRGGGHHH!!!","","True","SVM_10_Berzerk","",""
"Scripts/Content/Story/SVM.d:1230","Das wirst du noch zu spüren kriegen! Bastard!","You'll feel that! Bastard!","","True","SVM_10_YoullBeSorryForThis","",""
"Scripts/Content/Story/SVM.d:1231","Ja, Ja! Keine Panik! Hast gewonnen.","Yeah, yeah! Don't panic! You've won.","","True","SVM_10_YesYes","",""
"Scripts/Content/Story/SVM.d:1232","Was für ein Monstrum, nichts wie weg!","What a monster, run as fast as you can!","","True","SVM_10_ShitWhatAMonster","",""
"Scripts/Content/Story/SVM.d:1233","Rückzug!","Retreat!","","True","SVM_10_Help","",""
"Scripts/Content/Story/SVM.d:1234","Noch einmal und du kannst was erleben.","Try that again and you'll regret it.","","True","SVM_10_NeverTryThatAgain","",""
