"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:34","Was machst du hier?","Co tady děláš?","","","BEG_700_Jesper_JOB.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:44","Was machst du hier?","Co tady děláš?","","","BEG_700_JOB_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:45","Ich bin Jesper. War früher mal Soldat. Jetzt bin ich Bettler.","Já jsem Jesper. Dřív jsem byl voják. Teď je ze mě žebrák.","","","BEG_700_JOB_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:46","Was ist geschehen?","Co se stalo?","","","BEG_700_JOB_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:47","Drei Offiziere haben sich einen hübschen jungen Rekruten vorgenommen. Darauf hin habe ich sie mir vorgenommen.","Tři důstojníci se pustili do jednoho pěkného mladého rekruta. A tak jsem se pustil já do nich.","","","BEG_700_JOB_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:48","Innerhalb einer Minute waren sie alle tot. Und das war das Ende meiner Karriere. Seitdem hangel ich mich so durch.","Do minuty byli všichni tři mrtví. A to byl konec mojí kariéry. A od té doby se tu tak potloukám.","","","BEG_700_JOB_02_05","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:70","Hey, ich hab dich hier noch nie gesehen. Bringst du Neuigkeiten mit?","Hej, tebe jsem tu ještě neviděl. Přinášíš nějaké novinky?","","","BEG_700_HI_02_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:72","Der alte Tempel ist eingestürzt","Starý chrám se zhroutil.","","","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_TEMPLE","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:73","Ich hörte das Orks in der Gegend sind.","Slyšel jsem, že v okolí jsou skřeti.","","","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_ORK","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:74","Nein, aber kennst du Neuigkeiten? ","Ne, ale nevíš ty o nějakých?","","","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_NO","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:79","Nein, aber kennst du Neuigkeiten?","Ne, ale nevíš ty o nějakých?","","","BEG_700_HI_NO_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:80","Ich kriege einiges mit. Wenn du etwas wissen willst, bin ich dein Mann.","O pár jsem slyšel. Pokud se chceš něco dozvědět, jsem tvůj člověk.","","","BEG_700_HI_NO_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:86","Ich hörte das Orks in der Gegend sind.","Slyšel jsem, že v okolí jsou skřeti.","","","BEG_700_HI_ORK_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:87","Ach was? Tatsächlich? Sag mal hast du die letzten Monate geschlafen?","Cože? Skutečně? Řekni mi, nezaspal jsi pár posledních měsíců?","","","BEG_700_HI_ORK_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:88","Naja, geschlafen trifft es nicht unbedingt...","No jo, spánek to až tak úplně...","","","BEG_700_HI_ORK_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:89","Junge, wenn du Information suchst, dann bist du bei mir genau richtig.","Chlapče, jestli hledáš informace, tak jsi u mě na správném místě.","","","BEG_700_HI_ORK_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:95","Der alte Tempel ist eingestürzt","Starý chrám se zhroutil-","","","BEG_700_HI_TEMPLE_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:96","Tempel? Welcher Tempel?","Chrám? Jaký chrám?","","","BEG_700_HI_TEMPLE_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:97","Der alte Ork Tempel in dem der Erzdämon tausend Jahre geschlafen hat.","Starý skřetí chrám, ve kterém po tisíc let spal arcidémon.","","","BEG_700_HI_TEMPLE_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:98","Was... ein Tempel? Dämon... Orks? Damit kann ich nichts anfangen. Aber wenn du Neuigkeiten suchst, bist du bei mir richtig.","Cože... chrám? Démon... skřeti? S tím si nebudu nic začínat. Ale pokud by tě zajímaly novinky, jsi u mě správně.","","","BEG_700_HI_TEMPLE_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:112","Hast Du Neuigkeiten?","Nějaké novinky?","","","BEG_700_Jesper_NEWS.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:127","Hast Du Neuigkeiten?","Nějaké novinky?","","","BEG_700_NEWS_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:128","Das Wasser ist nass, die Miliz schläft im Dienst, die Bettler haben kein Silber, alles ist ruhig.","Voda je mokrá, domobrana spí ve službě, žebráci nemají ani vindru, vše je v klidu.","","","BEG_700_NEWS_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:141","(Neuigkeit erwerben über...)","(Získat novinky o...)","","","BEG_700_Jesper_GIVENEWS.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:157","Herumtreiber (2 Silber)","Pobudech (2 stříbrné)","","","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_LOAFER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:158","Miliz (2 Silber)","Domobraně (2 stříbrné)","","","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_MILITIA","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:159","Heiler (2 Silber)","Léčitelích (2 stříbrné)","","","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_HEALER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:160","Arbeiter (2 Silber)","Dělnících (2 stříbrné)","","","BEG_700_Jesper_GIVENEWS_Info.BEG_700_Jesper_GIVENEWS.BEG_700_Jesper_GIVENEWS_WORKER","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:168","Erzähl mir was über die Arbeiter!","Pověz mi o dělnících!","","","BEG_700_GIVENEWS_WORKER_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:169","Einige der Arbeiter sind unzufrieden, weil Bromor ein Sklaventreiber ist.","Někteří z dělníků jsou nespokojení, protože Bromor je otrokář.","","","BEG_700_GIVENEWS_WORKER_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:170","Einer von ihnen, Rassmuson, will sogar abhauen.","Jeden z nich, Rassmuson, chce dokonce utéct.","","","BEG_700_GIVENEWS_WORKER_02_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:171","Na, und?","A dál?","","","BEG_700_GIVENEWS_WORKER_15_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:172","Nun, wenn du das Bromor erzähslt, springt vielleicht was für dich raus.","No, když o tom Bromorovi povíš, nejspíš na tebe vyjede.","","","BEG_700_GIVENEWS_WORKER_02_05","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:173","Und wenn du dich auf die Seite von Rassmuson stellst, kannst du vielleicht bei ihm ewas rausschlagen.","A když se postavíš na Rassmusonovu stranu, tak to od něj možná i schytáš.","","","BEG_700_GIVENEWS_WORKER_02_06","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:174","Wie auch immer, es ist deine Entscheidung...","Jako vždycky, rozhodnutí je na tobě...","","","BEG_700_GIVENEWS_WORKER_02_07","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:197","Besorge dir Silber, dann bekommst du Informationen.","Obstarej si stříbro, potom dostaneš informace.","","","BEG_700_NOMONEY_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:189","Erzähl mir was über die Heiler!","Pověz mi o léčitelích!","","","BEG_700_GIVENEWS_HEALER_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:190","Angeblich gibt es ein Rezept für ein Mittel, das den Kranken für eine Weile einen klaren Verstand verschafft.","Údajně existuje recept na prostředek, který by nemocné na chvíli dovedl přivést k rozumu.","","","BEG_700_GIVENEWS_HEALER_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:191","Aber niemand weiß wo dieses Rezept zu finden ist.","Ale nikdo neví, kde tenhle recept hledat.","","","BEG_700_GIVENEWS_HEALER_02_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:192","Sie werden sich bestimmt erkenntlich zeigen, wenn jemand das Rezept findet...","Určitě budou vděční, když ten recept někdo najde...","","","BEG_700_GIVENEWS_HEALER_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:207","Erzähl mir was über die Miliz!","Pověz mi o domobraně!","","","BEG_700_GIVENEWS_MILITIA_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:208","Brutus der Leutnant kämpft gerne in der Arena. Zu gerne. Denn damit verspielt er sich seine Chance auf den Rang des Hauptmanns, denn er vernachlässigt seine Pflichten.","Brutus, ten poručík, velmi rád bojuje v aréně. Příliš rád. Protože tím promrhal svoji šanci na hodnost kapitána, jelikož zanedbával svoje povinnosti.","","","BEG_700_GIVENEWS_MILITIA_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:212","Besorge dir Silber, dann bekommst du Informationen.","Obstarej si stříbro, potom dostaneš informace.","","","BEG_700_NOMONEY_02_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:222","Erzähl mir was über die Herumtreiber!","Pověz mi o pobudech!","","","BEG_700_GIVENEWS_LOAFER_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:223","Ihre Position ist schlecht im Lager. Sie helfen nicht beim Aufbau des Lagers und kümmern sich nicht um die Versorgung.","Jejich postavení v táboře je špatné. Nepomáhají při jeho výstavbě ani při jeho zaopatřování.","","","BEG_700_GIVENEWS_LOAFER_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:224","Vor allem den Arbeitern stinkt das gewaltig. Aber Diego hat klargemacht, das jeder hier im Lager Zuflucht findet und bleiben kann.","Hlavně dělníkům tohle hrozně smrdí. Ale Diego dal jasně najevo, že tady v táboře najde útočiště každý a každý tu smí zůstat.","","","BEG_700_GIVENEWS_LOAFER_02_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:225","Zudem ist jeder Mann bei einem möglichen Orkangriff wichtig.","Navíc je při případném skřetím útoku každý muž dobrý.","","","BEG_700_GIVENEWS_LOAFER_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:229","Besorge dir Silber, dann bekommst du Informationen.","Obstarej si stříbro, potom dostaneš informace.","","","BEG_700_NOMONEY_02_05","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:34","Was machst du hier?","Co tu děláš?","","","BEG_701_Jose_HI.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:44","Was machst du hier?","Co tu děláš?","","","BEG_701_HI_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:45","Ich schau mir an wer hier ein und ausgeht. Die Soldaten achten nicht auf alles. Ich schon.","Dívám se, kdo sem přichází a odchází. Vojáci nedávají pozor na všechno, já ano.","","","BEG_701_HI_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:46","Und warum?","A proč?","","","BEG_701_HI_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:47","Es gibt immer jemanden der bereit ist, für Neuigkeiten zu bezahlen.","Vždycky se najde někdo, kdo je ochoten za novinky zaplatit.","","","BEG_701_HI_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:59","Und, gibt's was Neues?","A, něco nového?","","","BEG_701_Jose_NEWS.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_701_Jose.d:75","Und, gibt's was Neues?","A, něco nového?","","","BEG_701_NEWS_15_01","",""
