"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:50","Hey, ich dachte du wärst tot!","¡Eh, yo pensaba que estabas muerto!","","True","PC_Psionic_HALLOAGAIN_23_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:51","Das kommt mir bekannt vor.","Eso me suena familiar.","","True","PC_Psionic_HALLOAGAIN_15_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:52","Was ist geschehen?","¿Qué ha pasado?","","True","PC_Psionic_HALLOAGAIN_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:53","Der Kampf gegen den Schläfer hat mich geschwächt. Das bedeutet ich muss wieder 'ne Menge lernen.","La lucha contra el Durmiente me ha debilitado. Eso significa que tengo que aprender mucho.","","True","PC_Psionic_HALLOAGAIN_15_04","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:54","Ich kann dir zeigen, wie du deine magische Kraft steigerst und dir die Kreise der Magie lehren.","Puedo enseñarte a aumentar tu poder mágico y a enseñarte los Círculos de la Magia.","","True","PC_Psionic_HALLOAGAIN_23_05","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:68","Wolltest Du nicht von der Felsenfestung Besitz nehmen?","¿No querías tomar posesión del fuerte de roca?","","True","PC_Psionic_FORTRESS.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:83","Wolltest Du nicht von der Felsenfestung Besitz nehmen?","¿No querías tomar posesión del fuerte de roca?","","True","PC_Psionic_FORTRESS_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:84","Das wollte ich, aber dann tauchte plätzlich König Rhobar mit seinen Paladinen dort auf, und machte sich in 'meiner' Festung breit.","Lo quería, pero entonces apareció el rey Rhobar y sus paladines y se extendió por la fortaleza ''mi''.","","True","PC_Psionic_FORTRESS_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:96","König Rhobar ist hier?","¿Ha venido el rey Rhobar?","","True","PC_Psionic_KINGHERE.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:111","König Rhobar ist hier?","¿Ha venido el rey Rhobar?","","True","PC_Psionic_KINGHERE_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:112","Es ist noch garnicht so lange her, da stand er plötzlich mit seinen Paladinen vor dem Alten Lager.","Hace poco, de repente, él y sus paladines se encontraban frente al Campamento Viejo.","","True","PC_Psionic_KINGHERE_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:113","Einige düster dreinblickende Magier befanden sich ebenfalls in seinem Gefolge. Nur die Götter wissen, was die hier verloren haben.","También lo acompañaron algunos magos sombríos y sobresalientes. Sólo los dioses saben lo que han perdido.","","True","PC_Psionic_KINGHERE_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:114","Er nahm kurzerhand die Felsenfestung in Besitz und richtete dort sein Hauptquartier ein!","¡Con poco tiempo se hizo con la fortaleza de roca y estableció su cuartel general allí!","","True","PC_Psionic_KINGHERE_23_04","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:115","Angeblich sucht er irgendetwas hier in der Gegend!","¡Supongo que está buscando algo por aquí!","","True","PC_Psionic_KINGHERE_23_05","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:127","Weisst du WAS der König hier sucht?","¿Sabes qué busca el rey?","","True","PC_Psionic_KINGWHAT.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:142","Weisst du WAS der König hier sucht?","¿Sabes qué busca el rey?","","True","PC_Psionic_KINGWHAT_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:143","Nein. Sie haben den Zugang zur Felsenfestung regelrecht abgeriegelt.","No. Han bloqueado el acceso a la fortaleza de roca.","","True","PC_Psionic_KINGWHAT_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:144","Was immer Rhobar hier sucht, er glaubt es offensichtlich dort zu finden!","¡Rhobar cree que lo que busque aquí es lo que encuentra allí!","","True","PC_Psionic_KINGWHAT_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:145","Merkwürdig...","Extrañamente...","","True","PC_Psionic_KINGWHAT_15_04","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:157","Was tust du hier?","¿Qué haces aquí?","","True","PC_Psionic_YOUHERE.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:167","Was tust du hier?","¿Qué haces aquí?","","True","PC_Psionic_YOUHERE_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:168","Ich forsche nach dem alten Wissen der Feuermagier.","Estoy investigando el antiguo conocimiento de los Magos del Fuego.","","True","PC_Psionic_YOUHERE_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:169","Sie haben zu Zeiten der Barriere schliesslich hier gelebt.","Por fin, vivieron aquí en tiempos de la Barrera.","","True","PC_Psionic_YOUHERE_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:181","Wie laufen deine Forschungen?","¿Cómo va tu investigación?","","True","PC_Psionic_IREMEMBER.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:196","Wie laufen deine Forschungen?","¿Cómo va tu investigación?","","True","PC_Psionic_IREMEMBER_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:197","Der Zusammenbruch der magischen Barriere hat fast alle magischen Artefakte zerstört. Auch die Runen!","El derrumbe de la Barrera Mágica ha destruido casi todos los artefactos mágicos. ¡También las runas!","","True","PC_Psionic_IREMEMBER_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:198","Aber ich habe einen Weg gefunden, neue Runen herzustellen!","¡Pero he encontrado una manera de crear nuevas runas!","","True","PC_Psionic_IREMEMBER_23_03","",""
