"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:60","Steh nicht im Weg rum, Mann! Hier wird gearbeitet!","¡No te interponas en el camino, tío! ¡Aquí hay trabajo!","","True","Info_Gotmar_GREETINGS_04_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:73","Sieht sehr anstrengend aus, deine Arbeit!","¡Tu trabajo parece muy agotador!","","True","Info_Gotmar_TIRESOME.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:88","Sieht anstrengend aus, deine Arbeit!","¡Tu trabajo parece agotador!","","True","Info_Gotmar_TIRESOME_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:89","Und es ist ehrliche Arbeit! Das kann nicht jeder hier von seinem Beruf behaupten.","¡Y es un trabajo honrado! No todo el mundo puede decir eso de su oficio.","","True","Info_Gotmar_TIRESOME_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:90","Wie meinst du das?","¿Qué quieres decir con eso?","","True","Info_Gotmar_TIRESOME_15_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:91","Schau dich mal um. Schmarotzer, Bettler, Diebe... Nicht jeder hier verdient sich sein Brot auf ehrliche Weise!","Mira a tu alrededor. Pobreces, mendigos, ladrones... ¡no todos aquí se ganan el pan de manera honesta!","","True","Info_Gotmar_TIRESOME_04_04","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:92","Wenn wir Handwerker nicht wären, wäre das Lager noch ein riesiger Schutthaufen!","¡Si no fuéramos artesanos, el campamento sería un montón de escombros!","","True","Info_Gotmar_TIRESOME_04_05","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:104","Das Lager war zerstört?","¿El campamento estaba destruido?","","True","Info_Gotmar_DEBRIS.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:119","Das Lager war zerstört?","¿El campamento estaba destruido?","","True","Info_Gotmar_DEBRIS_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:120","Ja Mann! Bei der Zerstörung der Barriere ist hier einiges zu Bruch gegangen!","¡Sí, tío! ¡Al destruir la Barrera, se rompió mucho por aquí!","","True","Info_Gotmar_DEBRIS_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:121","Vorher soll es hier anders ausgesehen haben, sagt Diego.","Diego dice que antes las cosas no eran así.","","True","Info_Gotmar_DEBRIS_04_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:124","Kann schon sein!","¡Pues puede ser!","","True","Info_Gotmar_DEBRIS_Info.Info_Gotmar_DEBRIS.Info_Gotmar_DEBRIS_MAYBE","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:125","Es sah... ANDERS aus!","¡Parecía... ALTRO!","","True","Info_Gotmar_DEBRIS_Info.Info_Gotmar_DEBRIS.Info_Gotmar_DEBRIS_INDEED","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:130","Kann schon sein!","¡Pues puede ser!","","True","Info_Gotmar_DEBRIS_MAYBE_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:131","Naja, genau wissen das nur ehemalige Gefangene, wie Diego.","Bueno, solo los antiguos prisioneros, como Diego, saben exactamente lo que es.","","True","Info_Gotmar_DEBRIS_MAYBE_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:138","Es sah...","Lo vi...","","True","Info_Gotmar_DEBRIS_INDEED_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:140","...ANDERS aus!","... ¡ALTRO!","","True","Info_Gotmar_DEBRIS_INDEED_15_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:141","Woher willst DU das denn wissen?","¿Cómo quieres saberlo TÚ?","","True","Info_Gotmar_DEBRIS_INDEED_04_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:142","Vor der Zerstörung war dieses Gebiet ein riesiges Gefängnis!","¡Antes de que fueran destruidas, esta zona era una gran cárcel!","","True","Info_Gotmar_DEBRIS_INDEED_04_04","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:143","Ich war einer der Gefangenen und kenne Diego noch aus dieser Zeit!","¡Yo era uno de los prisioneros y aún conozco a Diego!","","True","Info_Gotmar_DEBRIS_INDEED_15_05","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:144","(misstrauisch) Was du nicht sagst...","(Suspicaz) No digas nada...","","True","Info_Gotmar_DEBRIS_INDEED_04_06","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:158","Verkaufst du Waffen?","¿Vendes armas?","","True","Info_Gotmar_SELL.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:173","Verkaufst du Waffen?","¿Vendes armas?","","True","Info_Gotmar_SELL_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:174","Nicht an dich. Ich liefere ausschliesslich an die Miliz.","No a ti. Solo entrego a la milicia.","","True","Info_Gotmar_SELL_04_02","",""
