"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:33","Was für eine Krankheit haben diese Leute?","Che tipo di malattia hanno?","","True","HLR_500_Palgur_POS.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:48","Was für eine Krankheit haben diese Gestalten?","Che tipo di malattia hanno?","","True","HLR_500__POS_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:49","Die Kranken verlieren ihren Verstand und ihr Körper geht jämmerlich zugrunde.","I malati perdono la testa e il loro corpo si rovina.","","True","HLR_500__POS_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:50","Wir haben bisher noch keine Aufzeichnungen darüber gefunden.","Non abbiamo trovato alcuna registrazione.","","True","HLR_500__POS_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:63","Was ist deine Aufgabe hier?","Qual è il tuo compito qui?","","True","HLR_500_Palgur_JOB.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:73","Was ist deine Aufgabe hier?","Qual è il tuo compito qui?","","True","HLR_500_JOB_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:74","Ich erforsche verschiedene Rezepturen, um ein Heilmittel zu finden","Sto studiando diverse ricette per trovare una cura.","","True","HLR_500_JOB_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:75","Wir haben herausgefunden, daß die Kranken durch SUMPFKRAUT beruhigt werden.","Abbiamo scoperto che le ARVI di palude possono calmare i malati.","","True","HLR_500_JOB_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:76","Das ist alles?","È tutto?","","True","HLR_500_JOB_15_04","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:77","... alles? Wir verzeichnen das als den ersten großen Fortschritt.","...tutto? Questo è il primo grande progresso.","","True","HLR_500_JOB_08_05","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:89","Wie geht die Arbeit voran?","Come vanno i lavori?","","True","HLR_500_Palgur_RECIPE.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:104","Wie geht die Arbeit voran?","Come vanno i lavori?","","True","HLR_500_RECIPE_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:105","Dank der Rezeptur, die du uns besorgt hast, können wir unsere Forschungen gezielter durchführen.","Grazie alla ricetta che ci hai fornito, possiamo svolgere le nostre ricerche con maggiore precisione.","","True","HLR_500_RECIPE_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:106","Trotzdem ist es noch ein langer Weg, bis wir ein Heilmittel gefunden haben.","Tuttavia, ci vorrà ancora molto per trovare una cura.","","True","HLR_500_RECIPE_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:41","Bist du einer der Heiler?","Sei uno dei guaritori?","","True","HLR_501_Talamon_HI.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:51","Bist du einer der Heiler?","Sei uno dei guaritori?","","True","HLR_501_HI_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:52","Ja. Zusammen mit Palgur und Isgar helfe ich den Kranken hier im Viertel.","Sì. Insieme a Palgur e Isgar, sto aiutando i malati del distretto.","","True","HLR_501_HI_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:53","Was ist das für eine Krankheit?","Che tipo di malattia è questa?","","True","HLR_501_HI_15_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:54","Die Kranken essen kaum noch und reden wirres Zeug. Schau sie dir an, ein wirklich elender Anblick!","I malati mangiano a malapena e parlano di cose sbagliate. Guardateli, è una vista davvero miserabile!","","True","HLR_501_HI_08_04","",""
